bidntceno,bidntceord,bidprccorpbizrno,label
20240406546,000,5088119211,1
20240406546,000,2908601474,1
20240406546,000,8958801308,1
20240406546,000,5088802795,1
20240406546,000,1428165913,1
20240406546,000,5088122899,1
20240406546,000,4428102220,1
20240406546,000,5088117590,1
20240406546,000,5088132325,1
20240406546,000,5118107308,1
20240406546,000,4098613012,1
20240406546,000,5088115044,1
20240406546,000,5088112902,1
20240406546,000,4168158725,1
20240406546,000,5088130157,1
20240406546,000,5032056831,1
20240406546,000,5088113221,1
20240406546,000,5088104931,1
20240406546,000,4198101288,1
20240406546,000,5088110321,1
20240406546,000,5088106394,1
20240406546,000,4758701524,1
20240406546,000,5088134298,1
20240406546,000,5088113653,1
20240406546,000,2878701228,1
20240406546,000,5128116270,1
20240406546,000,3288801526,1
20240406546,000,5088114555,1
20240406546,000,5088104760,1
20240406546,000,8178100426,1
20240406546,000,3458602278,1
20240406546,000,5088109047,1
20240406546,000,3158602637,1
20240406546,000,4088178768,1
20240406546,000,5088127313,1
20240406546,000,5058154413,1
20240406546,000,5678602922,1
20240406546,000,5088106813,1
20240406546,000,1208656699,1
20240406546,000,2168701401,1
20240406546,000,5088113084,1
20240406546,000,5018122108,1
20240406546,000,5138154942,1
20240406546,000,5088136087,1
20240406546,000,5038127486,1
20240406546,000,4118109587,1
20240406546,000,4148602588,1
20240406546,000,5088123603,1
20240406546,000,1758103178,1
20240406546,000,6098123075,1
20240406546,000,5088127439,1
20240406546,000,1768600577,1
20240406546,000,1748801953,1
20240406546,000,5608801299,1
20240406546,000,4188113840,1
20240406546,000,6488701796,1
20240406546,000,6238602218,1
20240406546,000,4878602441,1
20240406546,000,5088121814,1
20240406546,000,5080522653,1
20240406546,000,5088133080,1
20240406546,000,6838801836,1
20240406546,000,5088122074,1
20240406546,000,5088112329,1
20240406546,000,5088123035,1
20240406546,000,7968600783,1
20240406546,000,7838702744,1
20240406546,000,5088113406,1
20240406546,000,5088120872,1
20240406546,000,6098130616,1
20240406546,000,1058678433,1
20240406546,000,5208101079,1
20240406546,000,1358195836,1
20240406546,000,5128121093,1
20240406546,000,5088106870,1
20240406546,000,3658100906,1
20240406546,000,5088126255,1
20240406546,000,5058163358,1
20240406546,000,6198802038,1
20240406546,000,5088120625,1
20240406546,000,5088133270,1
20240406546,000,5088122583,1
20240406546,000,5038138566,1
20240406546,000,5088117192,1
20240406546,000,5088114249,1
20240406546,000,8758602842,1
20240406546,000,5088134677,1
20240406546,000,6548701923,1
20240406546,000,1358189770,1
20240406546,000,3118700783,1
20240406546,000,6168155444,1
20240406546,000,5088111975,1
20240406546,000,7138801194,1
20240406546,000,5088123199,1
20240406546,000,5088105342,1
20240406546,000,5088103344,1
20240406546,000,5088107239,1
20240406546,000,4128137510,1
20240406546,000,6468101634,1
20240406546,000,3868800033,1
20240406546,000,5088102160,1
20240406546,000,5088119851,1
20240406546,000,2228113346,1
20240406546,000,5088133606,1
20240406546,000,5088134911,1
20240406546,000,6378601805,1
20240406546,000,5658601247,1
20240406546,000,7648701521,1
20240406546,000,6078157962,1
20240406546,000,3018102948,1
20240406546,000,5058109728,1
20240406546,000,5078103507,1
20240406546,000,5088106230,1
20240406546,000,5088104926,1
20240406546,000,4098163900,1
20240406546,000,5088102379,1
20240406546,000,1278146784,1
20240406546,000,3138701487,1
20240406546,000,3498800806,1
20240406546,000,5088134890,1
20240406546,000,5138114294,1
20240406546,000,5088136054,1
20240406546,000,5128119471,1
20240406546,000,5108108546,1
20240406546,000,5088114934,1
20240406546,000,5488100461,1
20240406546,000,5088106661,1
20240406546,000,5058145840,1
20240406546,000,3648602624,1
20240406546,000,5088121643,1
20240406546,000,1428602591,1
20240406548,000,4108115960,1
20240406548,000,4088139732,1
20240406548,000,3758102522,1
20240406548,000,4108692244,1
20240406548,000,4128124145,1
20240406548,000,5138111623,1
20240406548,000,4098198428,1
20240406548,000,4128132418,1
20240406548,000,3058136396,1
20240406548,000,5088105911,1
20240406548,000,4098189593,1
20240406548,000,4098601030,1
20240406548,000,4098116881,1
20240406548,000,4098171486,1
20240406548,000,2238107115,1
20240406548,000,4588802049,1
20240406548,000,4168135440,1
20240406548,000,3208601611,1
20240406548,000,4118163956,1
20240406548,000,2628800023,1
20240406548,000,7208101776,1
20240406548,000,4088142784,1
20240406548,000,1868101831,1
20240406548,000,2678601611,1
20240406548,000,4108658246,1
20240406548,000,4098614985,1
20240406548,000,1258631000,1
20240406548,000,4378802019,1
20240406548,000,3118118622,1
20240406548,000,6658800620,1
20240406548,000,4168133438,1
20240406548,000,4108176502,1
20240406548,000,4098190896,1
20240406548,000,4098144903,1
20240406548,000,8178102730,1
20240406548,000,2288104001,1
20240406548,000,4098162240,1
20240406548,000,4098173086,1
20240406548,000,4028148378,1
20240406548,000,4098646696,1
20240406548,000,4098184002,1
20240406548,000,4098155318,1
20240406548,000,4318101842,1
20240406548,000,1808601712,1
20240406548,000,4168140491,1
20240406548,000,4108645872,1
20240406548,000,3128188024,1
20240406548,000,4098163967,1
20240406548,000,4098135030,1
20240406548,000,1378600679,1
20240406548,000,4098196191,1
20240406548,000,4098134725,1
20240406548,000,4088147907,1
20240406548,000,4048112385,1
20240406548,000,4108181043,1
20240406548,000,8178801685,1
20240406548,000,5148146237,1
20240406548,000,3108701718,1
20240406548,000,4098124630,1
20240406548,000,4098192327,1
20240406548,000,2388800108,1
20240406548,000,1308802495,1
20240406548,000,3418600322,1
20240406548,000,1248801851,1
20240406548,000,4098157126,1
20240406548,000,3018180599,1
20240406548,000,4098177442,1
20240406548,000,5158121807,1
20240406548,000,4098176195,1
20240406548,000,4098606258,1
20240406548,000,8248601544,1
20240406548,000,2268802705,1
20240406548,000,4108146240,1
20240406548,000,7358102592,1
20240406548,000,5088121172,1
20240406548,000,4098171564,1
20240406553,000,6063789041,1
20240406556,000,1282977695,1
20240406556,000,1288124430,1
20240406556,000,1138700175,1
20240406556,000,1288618909,1
20240406556,000,5688601038,1
20240406556,000,1288703645,1
20240406556,000,5012567152,1
20240406556,000,1288647419,1
20240406556,000,4018119147,1
20240406556,000,3858802886,1
20240406556,000,1283208505,1
20240406556,000,1288604308,1
20240406556,000,2328100299,1
20240406556,000,1288609846,1
20240406556,000,1288200264,1
20240406556,000,3258602274,1
20240406556,000,1288186436,1
20240406556,000,7158802388,1
20240406556,000,2133900737,1
20240406556,000,4658603187,1
20240406556,000,1278616795,1
20240406556,000,1378145972,1
20240406556,000,1101921551,1
20240406556,000,1283231194,1
20240406556,000,7268800885,1
20240406556,000,2591201638,1
20240406556,000,1288682468,1
20240406556,000,2958101983,1
20240406556,000,1418106191,1
20240406556,000,2158140879,1
20240406556,000,5568801460,1
20240406556,000,1288702082,1
20240406556,000,8208102584,1
20240406556,000,1258194164,1
20240406556,000,3141771396,1
20240406556,000,5148195631,1
20240406556,000,1283834553,1
20240406556,000,8598700378,1
20240406556,000,4068702115,1
20240406556,000,1288137691,1
20240406556,000,1058729225,1
20240406556,000,1108172095,1
20240406556,000,3913500330,1
20240406556,000,1258168142,1
20240406556,000,6828802977,1
20240406556,000,1280140613,1
20240406556,000,1288144703,1
20240406556,000,1748601721,1
20240406556,000,6428703059,1
20240406556,000,5338100192,1
20240406556,000,1120632525,1
20240406556,000,2218112005,1
20240406556,000,1108189320,1
20240406556,000,1288704227,1
20240406556,000,7798600982,1
20240406556,000,4108650899,1
20240406556,000,2638102592,1
20240406556,000,8018801851,1
20240406556,000,1288142442,1
20240406556,000,4758600867,1
20240406556,000,1288111482,1
20240406556,000,1288640056,1
20240406556,000,1288617439,1
20240406556,000,1738802546,1
20240406556,000,1388702508,1
20240406556,000,2218600580,1
20240406556,000,1288199168,1
20240406556,000,8908700044,1
20240406556,000,2818102789,1
20240406556,000,2818702627,1
20240406556,000,1288651378,1
20240406556,000,2458601227,1
20240406556,000,2148857833,1
20240406556,000,6758801024,1
20240406556,000,2158666118,1
20240406556,000,7921801291,1
20240406556,000,6798702902,1
20240406556,000,1258172383,1
20240406556,000,1282411650,1
20240406556,000,2248801641,1
20240406556,000,2468701741,1
20240406556,000,6468803058,1
20240406556,000,4738600954,1
20240406556,000,1288609453,1
20240406556,000,1178111314,1
20240406556,000,5658602912,1
20240406556,000,2058603120,1
20240406556,000,1248118708,1
20240406556,000,1098173513,1
20240406556,000,3778102886,1
20240406556,000,6108171989,1
20240406556,000,1282906074,1
20240406556,000,7018602274,1
20240406556,000,4368602837,1
20240406556,000,5628702604,1
20240406556,000,4148802919,1
20240406556,000,5648800031,1
20240406556,000,3018635143,1
20240406556,000,5138156654,1
20240406556,000,2068648678,1
20240406556,000,1288663705,1
20240406556,000,6358802520,1
20240406556,000,1371094226,1
20240406556,000,2498603299,1
20240406556,000,1282461413,1
20240406556,000,1418111452,1
20240406556,000,1288655753,1
20240406556,000,1308609631,1
20240406556,000,1288636566,1
20240406556,000,1288618175,1
20240406556,000,8308102714,1
20240406556,000,1282584126,1
20240406556,000,1288610187,1
20240406556,000,5118118431,1
20240406556,000,4298603110,1
20240406556,000,2078155575,1
20240406556,000,1288139063,1
20240406556,000,2068621290,1
20240406556,000,5838600590,1
20240406556,000,2768802035,1
20240406556,000,1288619247,1
20240406556,000,6098169159,1
20240406556,000,6788800266,1
20240406556,000,1288151897,1
20240406556,000,1288177484,1
20240406556,000,1418118232,1
20240406556,000,1280245798,1
20240406556,000,8718701187,1
20240406556,000,1428129713,1
20240406556,000,4578701962,1
20240406556,000,1288187852,1
20240406556,000,7028802121,1
20240406557,000,4098171486,1
20240406557,000,4588802049,1
20240406557,000,3208601611,1
20240406557,000,3108701718,1
20240406557,000,4098646696,1
20240406557,000,2628800023,1
20240406557,000,7208101776,1
20240406557,000,1868101831,1
20240406557,000,2678601611,1
20240406557,000,4108658246,1
20240406557,000,4098163967,1
20240406557,000,4098124630,1
20240406557,000,6658800620,1
20240406557,000,4168133438,1
20240406557,000,4108176502,1
20240406557,000,4098190896,1
20240406557,000,4098144903,1
20240406557,000,4098601030,1
20240406557,000,8178102730,1
20240406557,000,4098173086,1
20240406557,000,4088142784,1
20240406557,000,2288104001,1
20240406557,000,4098162240,1
20240406557,000,4028148378,1
20240406557,000,5088121172,1
20240406557,000,1258631000,1
20240406557,000,4098171564,1
20240406557,000,4098155318,1
20240406557,000,4318101842,1
20240406557,000,1808601712,1
20240406557,000,4168140491,1
20240406557,000,4378802019,1
20240406557,000,4108645872,1
20240406557,000,2238107115,1
20240406557,000,4098135030,1
20240406557,000,1378600679,1
20240406557,000,4098196191,1
20240406557,000,4098134725,1
20240406557,000,4088147907,1
20240406557,000,3018180599,1
20240406557,000,4128124145,1
20240406557,000,5148146237,1
20240406557,000,4108181043,1
20240406557,000,4048112385,1
20240406557,000,4098192327,1
20240406557,000,2388800108,1
20240406557,000,1308802495,1
20240406557,000,3118118622,1
20240406557,000,3418600322,1
20240406557,000,1248801851,1
20240406557,000,4098157126,1
20240406557,000,4098177442,1
20240406557,000,5158121807,1
20240406557,000,4098184002,1
20240406557,000,7358102592,1
20240406557,000,4098606258,1
20240406557,000,8248601544,1
20240406557,000,2268802705,1
20240406557,000,4108146240,1
20240406557,000,4108115960,1
20240406557,000,4088139732,1
20240406557,000,3758102522,1
20240406557,000,4108692244,1
20240406557,000,5138111623,1
20240406557,000,4098198428,1
20240406557,000,5088105911,1
20240406557,000,4128132418,1
20240406557,000,4098614985,1
20240406557,000,3058136396,1
20240406557,000,4098189593,1
20240406557,000,8178801685,1
20240406557,000,4168135440,1
20240406557,000,3128188024,1
20240406557,000,4098116881,1
20240406557,000,4118163956,1
20240406557,000,4098176195,1
20240406558,000,2258121791,1
20240406558,000,4268700014,1
20240406558,000,5098700508,1
20240406558,000,2268131123,1
20240406558,000,2258110538,1
20240406558,000,6748602458,1
20240406559,000,4911101079,1
20240406563,000,6128124196,1
20240406563,000,6038148006,1
20240406563,000,6128147753,1
20240406563,000,6128124920,1
20240406563,000,6128123386,1
20240406563,000,3018150305,1
20240406563,000,6128146190,1
20240406563,000,6128124314,1
20240406563,000,6128132814,1
20240406563,000,6128133564,1
20240406563,000,6128143868,1
20240406563,000,6088151262,1
20240406563,000,7028601865,1
20240406563,000,4128148768,1
20240406563,000,7768600154,1
20240406563,000,6128134302,1
20240406563,000,3628801133,1
20240406563,000,7798703026,1
20240406563,000,6128132906,1
20240406563,000,1988801809,1
20240406563,000,6128144377,1
20240406563,000,1878801357,1
20240406563,000,7718602818,1
20240406563,000,5138159699,1
20240406563,000,6128102514,1
20240406563,000,6128130266,1
20240406563,000,8678100815,1
20240406563,000,5148171982,1
20240406563,000,1328133485,1
20240406563,000,6058172161,1
20240406563,000,6128103847,1
20240406563,000,2238114033,1
20240406563,000,6128135674,1
20240406563,000,2218119522,1
20240406563,000,6128118388,1
20240406563,000,2258117846,1
20240406563,000,6128113985,1
20240406563,000,1328195900,1
20240406563,000,2568800066,1
20240406563,000,6128139608,1
20240406563,000,6128113573,1
20240406563,000,6128105715,1
20240406563,000,8028802611,1
