bizno,rgncd,rgnnm,cntrynm,mnfctdivnm,emplyenum,corpbsnsdivcd,hdoffcedivnm
1282461413,41281,경기도 고양시 덕양구 원흥동,대한민국,공급,2,07,본사
1120632525,41285,경기도 고양시 일산동구,대한민국,공급,1,07,본사
5608801299,47170,경상북도 안동시,대한민국,공급,4,"03,05,07",본사
1878801357,48820,경상남도 고성군,대한민국,공급,2,07,본사
8678100815,48220,경상남도 통영시,대한민국,공급,4,07,본사
1868101831,46710,전라남도 담양군,대한민국,공급,8,07,본사
7718602818,48220,경상남도 통영시 산양읍 남평리,대한민국,공급,1,07,본사
8178102730,46710,전라남도 담양군,대한민국,공급,3,07,본사
8178100426,47170,경상북도 안동시,대한민국,공급,7,07,본사
2248801641,41281,경기도 고양시 덕양구,대한민국,공급,5,"03,05,07",본사
1748801953,47170,경상북도 안동시,대한민국,공급,6,07,본사
2458601227,41285,경기도 고양시 일산동구,대한민국,공급,2,"01,03,05,07",본사
6658800620,46710,전라남도 담양군,대한민국,공급,5,"03,05,07",본사
2498603299,41285,경기도 고양시 일산동구,대한민국,공급,6,"01,03,05,07",본사
4098646696,46710,전라남도 담양군,대한민국,공급,12,07,본사
4758701524,47170,경상북도 안동시,대한민국,공급,8,"01,07",본사
6128144377,48220,경상남도 통영시,대한민국,공급,3,07,본사
7968600783,47170,경상북도 안동시,대한민국,공급,5,"03,05,07",본사
2388800108,46710,전라남도 담양군,대한민국,공급,4,"03,05,07",본사
3158602637,47170,경상북도 안동시,대한민국,공급,4,07,본사
3758102522,46710,전라남도 담양군,대한민국,공급,3,07,본사
8178801685,46710,전라남도 담양군,대한민국,공급,2,07,본사
8718701187,41281,경기도 고양시 덕양구,대한민국,공급,4,07,본사
6128143868,48220,경상남도 통영시,대한민국,공급,5,07,본사
2878701228,47170,경상북도 안동시,대한민국,공급,3,07,본사
6488701796,47170,경상북도 안동시,대한민국,공급,4,07,본사
1308802495,46710,전라남도 담양군,대한민국,공급,3,07,본사
4108692244,46710,전라남도 담양군,대한민국,공급,6,07,본사
4148802919,41281,경기도 고양시 덕양구,대한민국,공급,4,07,본사
7798703026,48220,경상남도 통영시,대한민국,공급,2,07,본사
4108650899,41281,경기도 고양시 덕양구,대한민국,공급,6,"01,07",본사
6758801024,41281,경기도 고양시 덕양구,대한민국,공급,2,"01,07",본사
5338100192,41285,경기도 고양시 일산동구,대한민국,공급,4,"03,05,07",본사
1808601712,46710,전라남도 담양군,대한민국,공급,2,"01,07",본사
5088136087,47170,경상북도 안동시,대한민국,제조,5,"01,07",본사
4108658246,46720,전라남도 곡성군,대한민국,공급,6,07,본사
5088136054,47170,경상북도 안동시,대한민국,공급,9,07,본사
8598700378,41281,경기도 고양시 덕양구,대한민국,공급,5,"01,03,05,07",본사
7768600154,48220,경상남도 통영시,대한민국,공급,3,07,본사
1758103178,47170,경상북도 안동시,대한민국,공급,4,07,본사
3628801133,41131,경기도 성남시 수정구 신흥동,대한민국,공급,3,"01,07",본사
3258602274,41287,경기도 고양시 일산서구,대한민국,공급,2,"01,07",본사
8758602842,47170,경상북도 안동시,대한민국,공급,2,07,본사
5088123035,47170,경상북도 안동시,대한민국,공급,6,07,본사
1428602591,47170,경상북도 안동시,대한민국,공급,4,07,본사
3498800806,47170,경상북도 안동시,대한민국,공급,4,07,본사
5148195631,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
2218600580,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
5128121093,47170,경상북도 안동시,대한민국,공급,6,"03,05,07",본사
7028601865,48220,경상남도 통영시,대한민국,공급,3,07,본사
1288663705,41285,경기도 고양시 일산동구,대한민국,공급,12,"01,07",본사
7648701521,47170,경상북도 안동시,대한민국,공급,8,07,본사
4108645872,46710,전라남도 담양군,대한민국,공급,6,07,본사
2818102789,41285,경기도 고양시 일산동구,대한민국,공급,2,"01,07",본사
2818702627,41285,경기도 고양시 일산동구,대한민국,공급,3,07,본사
6748602458,27140,대구광역시 동구 신암동,대한민국,공급,2,07,본사
5628702604,41285,경기도 고양시 일산동구,대한민국,공급,3,07,본사
4911101079,47280,경상북도 문경시,대한민국,공급,2,07,본사
2268802705,46710,전라남도 담양군,대한민국,공급,1,07,본사
5088802795,47170,경상북도 안동시,대한민국,공급,4,07,본사
1101921551,41281,경기도 고양시 덕양구,대한민국,공급,1,"01,07",본사
4128148768,48220,경상남도 통영시,대한민국,공급,4,07,본사
4148602588,47170,경상북도 안동시,대한민국,공급,5,07,본사
4878602441,47170,경상북도 안동시,대한민국,공급,10,07,본사
4758600867,41285,경기도 고양시 일산동구,대한민국,공급,5,"03,05,07",본사
3108701718,46710,전라남도 담양군,대한민국,공급,0,07,본사
5088133606,47170,경상북도 안동시,대한민국,공급,3,"01,07",본사
1258631000,29140,광주광역시 서구,대한민국,공급,2,07,본사
7028802121,41281,경기도 고양시 덕양구,대한민국,공급,1,07,본사
2908601474,47170,경상북도 안동시,대한민국,공급,8,07,본사
4588802049,46710,전라남도 담양군,대한민국,공급,6,07,본사
3118700783,47170,경상북도 안동시,대한민국,공급,5,07,본사
1988801809,48220,경상남도 통영시,대한민국,공급,2,07,본사
5088133080,47170,경상북도 안동시,대한민국,공급,3,"01,07",본사
8028802611,48220,경상남도 통영시,대한민국,공급,4,07,본사
8208102584,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
6128146190,48220,경상남도 통영시,대한민국,공급,4,07,본사
5088106230,47170,경상북도 안동시,대한민국,공급,5,07,본사
4098116881,46710,전라남도 담양군,대한민국,공급,4,07,본사
5058109728,47170,경상북도 안동시,대한민국,공급,10,07,본사
1328133485,48220,경상남도 통영시,대한민국,공급,10,07,본사
5088106394,47170,경상북도 안동시,대한민국,공급,5,07,본사
5018122108,47170,경상북도 안동시,대한민국,공급,4,07,본사
5088102379,47170,경상북도 안동시,대한민국,공급,6,07,본사
6128113573,48220,경상남도 통영시,대한민국,공급,8,07,본사
6108171989,11710,서울특별시 송파구 잠실동,대한민국,공급,4,"01,03,05,07",본사
1308609631,41281,경기도 고양시 덕양구,대한민국,공급,4,07,본사
6128118388,48240,경상남도 사천시 사천읍 수석리,대한민국,공급,3,"01,07",본사
5088120625,47170,경상북도 안동시,대한민국,공급,6,07,본사
2228113346,47170,경상북도 안동시,대한민국,공급,4,"01,07",본사
4088139732,46710,전라남도 담양군,대한민국,공급,9,07,본사
1283208505,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
1288617439,41281,경기도 고양시 덕양구,대한민국,공급,7,"01,03,05,07",본사
1288200264,41281,경기도 고양시 덕양구,대한민국,공급,21,"03,05,07",본사
4098171564,46710,전라남도 담양군,대한민국,공급,5,07,본사
5088117192,47170,경상북도 안동시,대한민국,공급,4,07,본사
4098184002,46710,전라남도 담양군,대한민국,공급,3,07,본사
1288177484,41281,경기도 고양시 덕양구,대한민국,제조,8,"01,07",본사
5058154413,47170,경상북도 안동시,대한민국,공급,4,"03,05,07",본사
1288609453,41285,경기도 고양시 일산동구,대한민국,공급,3,"01,07",본사
2158666118,41285,경기도 고양시 일산동구,대한민국,제조,10,"01,07",본사
4128124145,46710,전라남도 담양군,대한민국,공급,3,07,본사
6058172161,48220,경상남도 통영시,대한민국,공급,3,07,본사
4168158725,47170,경상북도 안동시,대한민국,제조,11,"01,03,05,07",본사
1258172383,41285,경기도 고양시 일산동구,대한민국,공급,7,"03,05,07",본사
5158121807,46710,전라남도 담양군,대한민국,공급,6,07,본사
1288187852,41287,경기도 고양시 일산서구,대한민국,공급,5,"03,05,07",본사
5088120872,47170,경상북도 안동시,대한민국,공급,2,07,본사
1282906074,41281,경기도 고양시 덕양구,대한민국,공급,2,"01,07",본사
1288618175,41281,경기도 고양시 덕양구,대한민국,공급,5,"01,07",본사
2268131123,51760,강원특별자치도 평창군,대한민국,제조,12,"01,03,05,07",본사
1418111452,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
5088119211,47170,경상북도 안동시,대한민국,공급,6,07,본사
5088112329,47170,경상북도 안동시,대한민국,공급,5,07,본사
5088122899,47170,경상북도 안동시,대한민국,공급,8,07,본사
1358189770,47170,경상북도 안동시,대한민국,공급,4,07,본사
6098130616,47170,경상북도 안동시,대한민국,공급,9,07,본사
1288636566,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
5088114249,47170,경상북도 안동시,대한민국,공급,3,07,본사
5088106661,41650,경기도 포천시 소흘읍 이동교리,대한민국,공급,6,07,본사
1288618909,41285,경기도 고양시 일산동구,대한민국,공급,2,"01,07",본사
4098606258,46710,전라남도 담양군,대한민국,제조,3,"01,02,07",본사
4108176502,46710,전라남도 담양군,대한민국,공급,5,07,본사
3018180599,46710,전라남도 담양군,대한민국,공급,5,07,본사
1282584126,41285,경기도 고양시 일산동구,대한민국,공급,3,"01,07",본사
5088117590,47170,경상북도 안동시,대한민국,공급,5,07,본사
1283231194,41281,경기도 고양시 덕양구,대한민국,공급,4,07,본사
6128124196,48220,경상남도 통영시,대한민국,공급,6,07,본사
4098189593,46710,전라남도 담양군,대한민국,공급,3,07,본사
1058678433,47170,경상북도 안동시,대한민국,공급,4,07,본사
4128132418,46710,전라남도 담양군,대한민국,공급,3,07,본사
3118118622,46710,전라남도 담양군,대한민국,공급,2,07,본사
1288619247,41285,경기도 고양시 일산동구,대한민국,공급,3,07,본사
4098163900,47170,경상북도 안동시,대한민국,공급,6,07,본사
4098173086,46710,전라남도 담양군,대한민국,공급,6,07,본사
3128188024,46710,전라남도 담양군,대한민국,공급,5,07,본사
5088114934,47170,경상북도 안동시,대한민국,공급,12,07,본사
2068621290,41287,경기도 고양시 일산서구,대한민국,공급,2,07,본사
5088123199,47170,경상북도 안동시,대한민국,공급,8,07,본사
4098601030,46710,전라남도 담양군,대한민국,공급,18,07,본사
3058136396,46710,전라남도 담양군,대한민국,공급,6,07,본사
4098157126,46710,전라남도 담양군,대한민국,공급,6,"03,05,07",본사
5088121172,46710,전라남도 담양군,대한민국,공급,4,"01,07",본사
6128124314,48220,경상남도 통영시,대한민국,공급,2,07,본사
5118107308,47170,경상북도 안동시,대한민국,공급,9,07,본사
6168155444,47170,경상북도 안동시,대한민국,공급,4,07,본사
5088114555,47170,경상북도 안동시,대한민국,공급,5,"03,05,07",본사
5078103507,47170,경상북도 안동시,대한민국,공급,4,07,본사
1108172095,41281,경기도 고양시 덕양구,대한민국,공급,51,"01,03,05,07",본사
5088106813,47170,경상북도 안동시,대한민국,공급,5,07,본사
4098134725,46710,전라남도 담양군,대한민국,공급,4,07,본사
1178111314,41287,경기도 고양시 일산서구,대한민국,제조,13,"01,07",본사
1371094226,41281,경기도 고양시 덕양구,대한민국,공급,14,07,본사
4098135030,41830,경기도 양평군,대한민국,공급,5,07,본사
3018150305,48220,경상남도 통영시,대한민국,공급,6,07,본사
5088110321,47170,경상북도 안동시,대한민국,공급,7,07,본사
1248118708,41285,경기도 고양시 일산동구 사리현동,대한민국,공급,16,"03,05,07",본사
5032056831,47170,경상북도 안동시,대한민국,공급,6,"01,03,05,07",본사
4168135440,46710,전라남도 담양군,대한민국,공급,7,"03,05,07",본사
1358195836,47170,경상북도 안동시,대한민국,공급,3,07,본사
4168140491,46710,전라남도 담양군,대한민국,공급,11,"03,05,07",본사
1378145972,41287,경기도 고양시 일산서구,대한민국,공급,3,"03,05,07",본사
5080522653,47170,경상북도 안동시,대한민국,공급,5,07,본사
2078155575,41281,경기도 고양시 덕양구,대한민국,공급,2,"03,05,07",본사
5088105911,46710,전라남도 담양군,대한민국,공급,5,"01,07",본사
4018119147,41281,경기도 고양시 덕양구,대한민국,공급,4,07,본사
6098123075,47170,경상북도 안동시,대한민국,공급,16,"03,05,07",본사
6128105715,48220,경상남도 통영시,대한민국,공급,5,07,본사
1058729225,41281,경기도 고양시 덕양구,대한민국,공급,4,07,본사
1278616795,41285,경기도 고양시 일산동구,대한민국,공급,3,"01,03,05,07",본사
1288139063,41281,경기도 고양시 덕양구,대한민국,공급,1,"03,05,07",본사
5088113653,47170,경상북도 안동시,대한민국,제조,10,"01,03,05,07",본사
5088112902,47170,경상북도 안동시,대한민국,공급,3,07,본사
5088121643,47170,경상북도 안동시,대한민국,공급,14,07,본사
4188113840,47170,경상북도 안동시,대한민국,공급,6,07,본사
5138114294,47170,경상북도 안동시,대한민국,공급,7,07,본사
6088151262,48220,경상남도 통영시,대한민국,공급,10,07,본사
4098190896,46710,전라남도 담양군,대한민국,공급,3,07,본사
1418106191,41285,경기도 고양시 일산동구,대한민국,공급,4,"03,05,07",본사
4098196191,46710,전라남도 담양군,대한민국,공급,4,07,본사
6038148006,48220,경상남도 통영시 도산면 법송리,대한민국,공급,4,"01,07",본사
5088123603,47170,경상북도 안동시,대한민국,공급,5,07,본사
2218112005,41285,경기도 고양시 일산동구,대한민국,공급,4,"03,05,07",본사
1288151897,41285,경기도 고양시 일산동구,대한민국,공급,4,"01,03,05,07",본사
6128123386,48220,경상남도 통영시,대한민국,공급,10,07,본사
5088104760,47170,경상북도 안동시,대한민국,공급,3,07,본사
4088142784,46710,전라남도 담양군,대한민국,공급,10,"03,05,07",본사
2238107115,46710,전라남도 담양군,대한민국,공급,3,07,본사
4108181043,46710,전라남도 담양군,대한민국,공급,5,07,본사
5088107239,47170,경상북도 안동시,대한민국,공급,4,07,본사
1278146784,47170,경상북도 안동시,대한민국,공급,3,07,본사
5088113084,47170,경상북도 안동시,대한민국,공급,5,"01,03,05,07",본사
6128124920,48220,경상남도 통영시,대한민국,공급,9,"03,05,07",본사
1288137691,41283,경기도 고양시 일산구,대한민국,공급,4,07,본사
1288111482,41281,경기도 고양시 덕양구,대한민국,공급,11,"03,05,07",본사
6128102514,48220,경상남도 통영시,대한민국,공급,5,"01,07",본사
5088105342,47170,경상북도 안동시,대한민국,공급,8,"01,07",본사
5088121814,47170,경상북도 안동시,대한민국,공급,3,07,본사
1288609846,41281,경기도 고양시 덕양구,대한민국,공급,6,"01,03,05,07",본사
5108108546,47170,경상북도 안동시,대한민국,공급,2,07,본사
5088109047,47170,경상북도 안동시,대한민국,공급,5,"01,07",본사
4098171486,46710,전라남도 담양군,대한민국,공급,3,07,본사
6128113985,48220,경상남도 통영시,대한민국,공급,14,07,본사
2258117846,48220,경상남도 통영시,대한민국,공급,7,"01,05,07",본사
1288610187,41281,경기도 고양시 덕양구,대한민국,공급,4,"01,07",본사
1282411650,41285,경기도 고양시 일산동구,대한민국,공급,3,07,본사
5088119851,47170,경상북도 안동시,대한민국,공급,3,07,본사
2258110538,51760,강원특별자치도 평창군,대한민국,제조,7,"01,03,05,07",본사
5038138566,26230,부산광역시 부산진구 초읍동,대한민국,공급,3,07,본사
4088147907,46710,전라남도 담양군,대한민국,공급,2,07,본사
1208656699,47170,경상북도 안동시,대한민국,공급,4,07,본사
1288604308,41285,경기도 고양시 일산동구,대한민국,공급,10,"03,05,07",본사
1258168142,41285,경기도 고양시 일산동구,대한민국,공급,5,"03,05,07",본사
5088126255,47170,경상북도 안동시,대한민국,공급,4,"01,03,05,07",본사
6128103847,48220,경상남도 통영시,대한민국,공급,3,07,본사
1282977695,41281,경기도 고양시 덕양구,대한민국,공급,3,07,본사
6098169159,41285,경기도 고양시 일산동구,대한민국,공급,3,"03,05,07",본사
2158140879,41285,경기도 고양시 일산동구,대한민국,공급,6,"03,05,07",본사
1288640056,41287,경기도 고양시 일산서구,대한민국,공급,6,07,본사
4088178768,47170,경상북도 안동시,대한민국,공급,4,07,본사
6128132906,48220,경상남도 통영시,대한민국,공급,2,07,본사
1288144703,41285,경기도 고양시 일산동구,대한민국,공급,4,07,본사
4028148378,46710,전라남도 담양군,대한민국,공급,2,07,본사
4128137510,47170,경상북도 안동시,대한민국,공급,3,07,본사
4098155318,46710,전라남도 담양군,대한민국,공급,6,07,본사
4098162240,46710,전라남도 담양군,대한민국,공급,7,"03,05,07",본사
6128132814,48220,경상남도 통영시,대한민국,공급,15,07,본사
1288142442,41281,경기도 고양시 덕양구,대한민국,공급,4,"01,03,05,07",본사
4168133438,46710,전라남도 담양군,대한민국,공급,3,07,본사
5088113221,47170,경상북도 안동시,대한민국,공급,4,07,본사
1288186436,41285,경기도 고양시 일산동구,대한민국,공급,4,"01,03,05,07",본사
5088113406,47170,경상북도 안동시,대한민국,제조,3,"03,05,07",본사
4098124630,46710,전라남도 담양군,대한민국,공급,7,07,본사
1098173513,41281,경기도 고양시 덕양구,대한민국,제조,6,"01,03,05,07",본사
6128130266,48220,경상남도 통영시,대한민국,공급,1,07,본사
5088122074,47170,경상북도 안동시,대한민국,공급,2,07,본사
1280245798,41281,경기도 고양시 덕양구,대한민국,공급,3,"01,07",본사
5148146237,46710,전라남도 담양군,대한민국,공급,2,07,본사
4048112385,46710,전라남도 담양군,대한민국,공급,6,07,본사
5088115044,47170,경상북도 안동시,대한민국,공급,5,07,본사
2218119522,48220,경상남도 통영시,대한민국,공급,7,07,본사
4098163967,46710,전라남도 담양군,대한민국,공급,3,07,본사
6078157962,47170,경상북도 안동시,대한민국,공급,7,07,본사
5058145840,47170,경상북도 안동시,대한민국,공급,5,07,본사
5138154942,47170,경상북도 안동시,대한민국,공급,4,07,본사
5088111975,47170,경상북도 안동시,대한민국,제조,9,"01,03,05,07",본사
4098198428,46710,전라남도 담양군,대한민국,공급,3,07,본사
4098176195,46710,전라남도 담양군,대한민국,공급,2,07,본사
4098177442,46710,전라남도 담양군 담양읍 담주리,대한민국,공급,4,07,본사
4108146240,46710,전라남도 담양군,대한민국,공급,8,07,본사
4098192327,46710,전라남도 담양군,대한민국,공급,5,07,본사
6128133564,48220,경상남도 통영시,대한민국,공급,2,"01,07",본사
1288199168,41285,경기도 고양시 일산동구,대한민국,공급,3,"03,05,07",본사
5088122583,47170,경상북도 안동시,대한민국,공급,5,07,본사
5088102160,47170,경상북도 안동시,대한민국,공급,4,07,본사
5088106870,47170,경상북도 안동시,대한민국,제조,10,"01,03,05,07",본사
4118109587,47170,경상북도 안동시,대한민국,공급,5,07,본사
1288124430,41285,경기도 고양시 일산동구,대한민국,공급,15,07,본사
5088104931,47170,경상북도 안동시,대한민국,공급,7,07,본사
4098144903,46710,전라남도 담양군,대한민국,공급,10,07,본사
4108115960,46870,전라남도 영광군 영광읍 연성리,대한민국,공급,11,07,본사
5088104926,47170,경상북도 안동시,대한민국,공급,7,07,본사
5138111623,46710,전라남도 담양군,대한민국,공급,6,07,본사
6063789041,26440,부산광역시 강서구,대한민국,제조,15,"01,07",본사
3018102948,47170,경상북도 안동시,대한민국,공급,7,07,본사
5088103344,47170,경상북도 안동시,대한민국,공급,8,07,본사
5038127486,47170,경상북도 안동시,대한민국,공급,11,07,본사
5128116270,47170,경상북도 안동시,대한민국,공급,7,"03,05,07",본사
5088127313,47170,경상북도 안동시,대한민국,공급,4,07,본사
5088127439,47170,경상북도 안동시,대한민국,공급,9,07,본사
1418118232,41285,경기도 고양시 일산동구,대한민국,공급,5,"01,03,05,07",본사
5138156654,41281,경기도 고양시 덕양구,대한민국,공급,12,"01,03,05,07",본사
1108189320,41285,경기도 고양시 일산동구,대한민국,공급,4,"01,03,05,07",본사
4098613012,47170,경상북도 안동시,대한민국,제조,3,"01,07",본사
6128134302,48220,경상남도 통영시,대한민국,공급,6,"03,05,07",본사
5148171982,48220,경상남도 통영시,대한민국,공급,5,07,본사
1288647419,41285,경기도 고양시 일산동구 장항동,대한민국,공급,4,"01,03,05,07",본사
1378600679,46710,전라남도 담양군,대한민국,공급,2,07,본사
2148857833,41281,경기도 고양시 덕양구,대한민국,공급,8,"01,03,05,07",본사
4098614985,46710,전라남도 담양군,대한민국,공급,1,07,본사
1288651378,41281,경기도 고양시 덕양구,대한민국,공급,6,"03,05,07",본사
4118163956,46710,전라남도 담양군,대한민국,공급,6,07,본사
5118118431,41281,경기도 고양시 덕양구,대한민국,공급,8,07,본사
5138159699,48220,경상남도 통영시,대한민국,공급,4,"03,05,07",본사
3141771396,41285,경기도 고양시 일산동구,대한민국,공급,2,"01,07",본사
6128135674,48220,경상남도 통영시,대한민국,공급,6,07,본사
3778102886,41281,경기도 고양시 덕양구,대한민국,공급,3,"01,03,05,07",본사
3658100906,47170,경상북도 안동시,대한민국,공급,3,"03,05,07",본사
6788800266,41287,경기도 고양시 일산서구,대한민국,공급,2,"03,05,07",본사
2068648678,41285,경기도 고양시 일산동구,대한민국,공급,3,07,본사
5088134298,47170,경상북도 안동시,대한민국,공급,4,07,본사
1288682468,41285,경기도 고양시 일산동구,대한민국,공급,62,"01,03,05,07",본사
6468803058,41281,경기도 고양시 덕양구,대한민국,공급,1,07,본사
6828802977,41281,경기도 고양시 덕양구,대한민국,공급,3,07,본사
2958101983,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
2591201638,41285,경기도 고양시 일산동구,대한민국,공급,1,07,본사
1328195900,48220,경상남도 통영시,대한민국,공급,6,07,본사
6468101634,47170,경상북도 안동시,대한민국,공급,4,07,본사
3208601611,46710,전라남도 담양군,대한민국,공급,1,07,본사
4658603187,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
7158802388,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
6358802520,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
8308102714,41570,경기도 김포시,대한민국,공급,1,"01,07",본사
5658602912,41281,경기도 고양시 덕양구,대한민국,공급,3,07,본사
1138700175,41610,경기도 광주시,대한민국,공급,6,"01,03,05",본사
1288703645,41281,경기도 고양시 덕양구 행신동,대한민국,공급,1,"03,05,07",본사
8958801308,47170,경상북도 안동시,대한민국,공급,3,07,본사
7018602274,41285,경기도 고양시 일산동구,대한민국,공급,3,07,본사
4578701962,41287,경기도 고양시 일산서구,대한민국,공급,1,"01,07",본사
4298603110,41281,경기도 고양시 덕양구,대한민국,공급,3,07,본사
3648602624,47170,경상북도 안동시,대한민국,공급,4,07,본사
4068702115,41285,경기도 고양시 일산동구,대한민국,공급,1,"01,07",본사
2058603120,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
5568801460,41285,경기도 고양시 일산동구,대한민국,공급,2,"03,05,07",본사
5838600590,41285,경기도 고양시 일산동구,대한민국,공급,2,"01,03,05,07",본사
6378601805,47170,경상북도 안동시 용상동,대한민국,공급,3,07,본사
3858802886,41287,경기도 고양시 일산서구,대한민국,공급,3,07,본사
5088133270,47170,경상북도 안동시,대한민국,공급,3,07,본사
6548701923,47170,경상북도 안동시,대한민국,공급,6,07,본사
3018635143,41281,경기도 고양시 덕양구,대한민국,공급,3,07,본사
1428129713,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
2133900737,41285,경기도 고양시 일산동구,대한민국,공급,1,"03,05,07",본사
1428165913,47170,경상북도 안동시,대한민국,공급,9,"01,07",본사
6838801836,47170,경상북도 안동시,대한민국,공급,5,07,본사
6428703059,41281,경기도 고양시 덕양구,대한민국,공급,1,07,본사
3418600322,46710,전라남도 담양군,대한민국,공급,4,07,본사
1288655753,41287,경기도 고양시 일산서구,대한민국,공급,31,"01,03,05,07",본사
1288704227,41287,경기도 고양시 일산서구,대한민국,공급,3,07,본사
2168701401,47170,경상북도 안동시,대한민국,공급,7,07,본사
6238602218,47170,경상북도 안동시,대한민국,공급,3,07,본사
4428102220,47170,경상북도 안동시 정하동,대한민국,공급,3,07,본사
2768802035,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
3458602278,47170,경상북도 안동시,대한민국,공급,4,07,본사
3138701487,47170,경상북도 안동시,대한민국,공급,3,07,본사
5488100461,47170,경상북도 안동시,대한민국,공급,4,07,본사
5088132325,47170,경상북도 안동시,대한민국,제조,9,"01,03,05,07",본사
2238114033,48220,경상남도 통영시,대한민국,공급,3,07,본사
7208101776,46710,전라남도 담양군,대한민국,공급,2,07,본사
4198101288,47170,경상북도 안동시,대한민국,공급,8,07,본사
5088134890,47170,경상북도 안동시,대한민국,공급,3,07,본사
5088134677,47170,경상북도 안동시,대한민국,공급,3,07,본사
2678601611,46710,전라남도 담양군,대한민국,공급,4,"01,07",본사
7138801194,47170,경상북도 안동시,대한민국,공급,3,07,본사
2638102592,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
1738802546,41281,경기도 고양시 덕양구,대한민국,공급,3,"01,07",본사
3288801526,47170,경상북도 안동시,대한민국,공급,3,07,본사
5012567152,41285,경기도 고양시 일산동구,대한민국,공급,1,07,본사
1280140613,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
2258121791,51760,강원특별자치도 평창군,대한민국,공급,5,"03,05,07",본사
5678602922,47170,경상북도 안동시,대한민국,공급,5,07,본사
1283834553,41281,경기도 고양시 덕양구,대한민국,공급,1,"01,07",본사
8248601544,46710,전라남도 담양군,대한민국,공급,4,07,본사
1388702508,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
5088134911,47170,경상북도 안동시,대한민국,공급,10,07,본사
6198802038,47170,경상북도 안동시,대한민국,공급,2,07,본사
7358102592,46870,전라남도 영광군 홍농읍 계마리,대한민국,공급,2,07,본사
7798600982,41285,경기도 고양시 일산동구,대한민국,공급,5,"01,03,05,07",본사
2288104001,46710,전라남도 담양군,대한민국,공급,4,07,본사
5128119471,47170,경상북도 안동시,대한민국,공급,3,07,본사
4268700014,51760,강원특별자치도 평창군,대한민국,공급,2,"03,05,07",본사
8018801851,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
3868800033,47170,경상북도 안동시 옥동,대한민국,공급,7,07,본사
1748601721,41281,경기도 고양시 덕양구,대한민국,공급,4,"03,05,07",본사
6798702902,41287,경기도 고양시 일산서구,대한민국,공급,3,"01,07",본사
4738600954,41285,경기도 고양시 일산동구,대한민국,공급,2,"01,03,05,07",본사
2628800023,46710,전라남도 담양군,대한민국,공급,8,07,본사
5208101079,47170,경상북도 안동시,대한민국,제조,13,"01,03,05,07",본사
7838702744,47170,경상북도 안동시,대한민국,공급,2,07,본사
1768600577,47170,경상북도 안동시,대한민국,공급,10,"03,05,07",본사
4378802019,46710,전라남도 담양군,대한민국,공급,2,07,본사
5088130157,47170,경상북도 안동시,대한민국,공급,3,07,본사
4318101842,46710,전라남도 담양군,대한민국,공급,2,07,본사
5098700508,51760,강원특별자치도 평창군,대한민국,공급,1,"03,05,07",본사
3913500330,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
5648800031,41285,경기도 고양시 일산동구,대한민국,공급,2,"03,05,07",본사
5058163358,47170,경상북도 안동시,대한민국,공급,9,"03,05,07",본사
1258194164,41287,경기도 고양시 일산서구,대한민국,공급,6,07,본사
2568800066,48220,경상남도 통영시,대한민국,공급,7,07,본사
4368602837,41287,경기도 고양시 일산서구,대한민국,공급,3,07,본사
5688601038,41281,경기도 고양시 덕양구,대한민국,공급,3,07,본사
7268800885,41281,경기도 고양시 덕양구,대한민국,공급,2,"01,07",본사
1288702082,41285,경기도 고양시 일산동구,대한민국,공급,14,"03,05,07",본사
5658601247,47170,경상북도 안동시,대한민국,공급,4,07,본사
6128139608,48220,경상남도 통영시,대한민국,공급,12,07,본사
2468701741,41285,경기도 고양시 일산동구,대한민국,공급,2,"01,03,05,07",본사
7921801291,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
8908700044,41287,경기도 고양시 일산서구,대한민국,제조,39,"01,03,05,07",본사
6128147753,48220,경상남도 통영시,대한민국,공급,5,07,본사
1248801851,46710,전라남도 담양군,대한민국,공급,3,07,본사
2328100299,41281,경기도 고양시 덕양구,대한민국,공급,5,"01,03,05,07",본사
